,date,symbol
97,2025-01-25,LODHA
98,2025-01-25,DLF
99,2025-01-25,SHRIRAMFIN
100,2025-01-26,RECLTD
101,2025-01-26,CDSL
102,2025-01-27,COALINDIA
103,2025-01-27,PETRONET
104,2025-01-28,BAJAJ-AUTO
105,2025-01-28,IGL
106,2025-01-28,FEDERALBNK
107,2025-01-28,CIPLA
108,2025-01-28,M&MFIN
109,2025-01-28,IOC
110,2025-01-28,AMBUJACEM
111,2025-01-28,LICHSGFIN
112,2025-01-28,PNB
113,2025-01-28,EXIDEIND
114,2025-01-28,TVSMOTOR
115,2025-01-28,BHARTIARTL
116,2025-01-28,INDIANB
117,2025-01-28,SUNPHARMA
118,2025-01-28,BOSCHLTD
119,2025-01-28,BHEL
120,2025-01-29,TATAMOTORS
121,2025-01-29,MARUTI
122,2025-01-29,VOLTAS
123,2025-01-29,BAJFINANCE
124,2025-01-29,ADANIPORTS
125,2025-01-29,CANBK
126,2025-01-29,ADANIENT
127,2025-01-29,PRESTIGE
128,2025-01-29,SBICARD
129,2025-01-29,CAMS
130,2025-01-29,KPITTECH
131,2025-01-30,BEL
132,2025-01-30,CONCOR
133,2025-01-30,KALYANKJIL
134,2025-01-30,NAVINFLUOR
135,2025-01-30,SHREECEM
136,2025-01-30,LT
137,2025-01-30,IRB
138,2025-01-30,BIOCON
139,2025-01-30,BAJAJFINSV
140,2025-01-30,DABUR
141,2025-01-31,NESTLEIND
142,2025-01-31,ONGC
143,2025-01-31,POONAWALLA
144,2025-01-31,MARICO
145,2025-01-31,CHOLAFIN
146,2025-02-03,ABCAPITAL
147,2025-02-04,TITAN
148,2025-02-04,TATAPOWER
149,2025-02-04,IRCTC
150,2025-02-04,TIINDIA
151,2025-02-04,ASIANPAINT
152,2025-02-04,MFSL
153,2025-02-05,CUMMINSIND
154,2025-02-05,MAXHEALTH
155,2025-02-05,GAIL
156,2025-02-05,MANAPPURAM
157,2025-02-05,POLICYBZR
158,2025-02-05,OIL
159,2025-02-05,SJVN
160,2025-02-05,PAGEIND
161,2025-02-06,CHAMBLFERT
162,2025-02-06,APOLLOHOSP
163,2025-02-06,POWERGRID
164,2025-02-06,GUJGASLTD
165,2025-02-06,JINDALSTEL
166,2025-02-06,TATASTEEL
167,2025-02-07,ABBOTINDIA
168,2025-02-07,NCC
169,2025-02-07,NHPC
170,2025-02-07,LUPIN
171,2025-02-07,M&M
172,2025-02-07,SAIL
173,2025-02-07,TRENT
174,2025-02-07,ABFRL
175,2025-02-07,ASTRAL
176,2025-02-08,ASHOKLEY
177,2025-02-08,LICI
178,2025-02-08,PFC
179,2025-02-08,NAUKRI
180,2025-02-08,AARTIIND
181,2025-02-08,VEDL
182,2025-02-08,METROPOLIS
183,2025-02-08,MRF
184,2025-02-08,SBIN
185,2025-02-09,AUROPHARMA
186,2025-02-09,DIVISLAB
187,2025-02-10,BATAINDIA
188,2025-02-10,ESCORTS
189,2025-02-11,BRITANNIA
190,2025-02-11,JUBLFOOD
191,2025-02-11,UPL
192,2025-02-11,RAMCOCEM
193,2025-02-11,BERGEPAINT
194,2025-02-11,BANKINDIA
195,2025-02-11,HINDCOPPER
196,2025-02-11,NMDC
197,2025-02-12,BSE
198,2025-02-12,MOTHERSON
199,2025-02-12,ZYDUSLIFE
200,2025-02-12,NYKAA
201,2025-02-13,NATIONALUM
202,2025-02-13,IDEA
203,2025-02-13,EICHERMOT
204,2025-02-13,APOLLOTYRE
205,2025-02-13,UBL
206,2025-02-13,HINDALCO
207,2025-02-13,GNFC
208,2025-02-13,PIIND
209,2025-02-13,DEEPAKNTR
210,2025-02-13,ALKEM
211,2025-02-13,SUNTV
212,2025-02-14,HAL
213,2025-02-14,HEROMOTOCO
214,2025-02-14,CROMPTON
215,2025-02-14,GRASIM
216,2025-02-14,MUTHOOTFIN
217,2025-02-14,GLENMARK
218,2025-02-14,IPCALAB
219,2025-02-14,BHARATFORG
220,2025-02-14,DELHIVERY
221,2025-02-17,ABB
222,2025-02-26,SIEMENS
