,Symbol,Step Value,Expiry
222,BPCL,5,2025-02-27
224,BPCL,5,2025-03-27
226,BPCL,10,2025-04-24
228,BRITANNIA,50,2025-02-27
230,BRITANNIA,50,2025-03-27
233,BRITANNIA,100,2025-04-24
234,BSE,100,2025-02-27
237,BSE,100,2025-03-27
239,BSE,200,2025-04-24
240,BSOFT,10,2025-02-27
242,BSOFT,10,2025-03-27
244,BSOFT,20,2025-04-24
246,CAMS,100,2025-02-27
248,CAMS,100,2025-03-27
250,CAMS,200,2025-04-24
252,CANBK,1,2025-02-27
254,CANBK,1,2025-03-27
256,CANBK,2,2025-04-24
258,CANFINHOME,10,2025-02-27
260,CDSL,20,2025-02-27
262,CDSL,20,2025-03-27
264,CDSL,40,2025-04-24
266,CESC,5,2025-02-27
268,CESC,5,2025-03-27
270,CESC,10,2025-04-24
272,CGPOWER,10,2025-02-27
274,CGPOWER,10,2025-03-27
276,CGPOWER,20,2025-04-24
278,CHAMBLFERT,10,2025-02-27
280,CHAMBLFERT,10,2025-03-27
282,CHAMBLFERT,20,2025-04-24
284,CHOLAFIN,20,2025-02-27
286,CHOLAFIN,20,2025-03-27
288,CHOLAFIN,40,2025-04-24
290,CIPLA,20,2025-02-27
292,CIPLA,20,2025-03-27
294,CIPLA,40,2025-04-24
296,COALINDIA,5,2025-02-27
298,COALINDIA,5,2025-03-27
300,COALINDIA,10,2025-04-24
302,COFORGE,100,2025-02-27
304,COFORGE,100,2025-03-27
306,COFORGE,200,2025-04-24
308,COLPAL,20,2025-02-27
310,COLPAL,20,2025-03-27
312,COLPAL,40,2025-04-24
314,CONCOR,10,2025-02-27
316,CONCOR,10,2025-03-27
318,CONCOR,20,2025-04-24
320,COROMANDEL,20,2025-02-27
322,CROMPTON,5,2025-02-27
324,CROMPTON,5,2025-03-27
326,CROMPTON,10,2025-04-24
328,CUB,5,2025-02-27
330,CUMMINSIND,50,2025-02-27
332,CUMMINSIND,50,2025-03-27
334,CUMMINSIND,100,2025-04-24
336,CYIENT,20,2025-02-27
338,CYIENT,20,2025-03-27
340,CYIENT,40,2025-04-24
342,DABUR,5,2025-02-27
344,DABUR,5,2025-03-27
347,DABUR,10,2025-04-24
348,DALBHARAT,20,2025-02-27
350,DALBHARAT,20,2025-03-27
353,DALBHARAT,40,2025-04-24
355,DEEPAKNTR,50,2025-02-27
357,DEEPAKNTR,50,2025-03-27
358,DEEPAKNTR,100,2025-04-24
360,DELHIVERY,5,2025-02-27
363,DELHIVERY,5,2025-03-27
365,DELHIVERY,10,2025-04-24
366,DIVISLAB,50,2025-02-27
369,DIVISLAB,50,2025-03-27
371,DIVISLAB,100,2025-04-24
372,DIXON,250,2025-02-27
374,DIXON,250,2025-03-27
377,DIXON,500,2025-04-24
379,DLF,10,2025-02-27
380,DLF,10,2025-03-27
383,DLF,20,2025-04-24
384,DMART,50,2025-02-27
386,DMART,50,2025-03-27
389,DMART,100,2025-04-24
391,DRREDDY,10,2025-02-27
392,DRREDDY,10,2025-03-27
395,DRREDDY,20,2025-04-24
396,EICHERMOT,50,2025-02-27
398,EICHERMOT,50,2025-03-27
400,EICHERMOT,100,2025-04-24
402,ESCORTS,50,2025-02-27
404,ESCORTS,50,2025-03-27
406,ESCORTS,100,2025-04-24
408,EXIDEIND,5,2025-02-27
410,EXIDEIND,5,2025-03-27
412,EXIDEIND,10,2025-04-24
414,FEDERALBNK,5,2025-02-27
416,FEDERALBNK,5,2025-03-27
418,FEDERALBNK,5,2025-04-24
420,GAIL,5,2025-02-27
422,GAIL,5,2025-03-27
424,GAIL,5,2025-04-24
426,GLENMARK,20,2025-02-27
428,GLENMARK,20,2025-03-27
430,GLENMARK,40,2025-04-24
432,GMRAIRPORT,1,2025-02-27
434,GMRAIRPORT,1,2025-03-27
436,GMRAIRPORT,2,2025-04-24
438,GNFC,10,2025-02-27
440,GODREJCP,10,2025-02-27
442,GODREJCP,10,2025-03-27
444,GODREJCP,20,2025-04-24
446,GODREJPROP,50,2025-02-27
448,GODREJPROP,50,2025-03-27
450,GODREJPROP,100,2025-04-24
452,GRANULES,10,2025-02-27
454,GRANULES,10,2025-03-27
456,GRANULES,20,2025-04-24
458,GRASIM,20,2025-02-27
460,GRASIM,20,2025-03-27
462,GRASIM,40,2025-04-24
464,GUJGASLTD,5,2025-02-27
466,HAL,50,2025-02-27
469,HAL,50,2025-03-27
471,HAL,100,2025-04-24
472,HAVELLS,20,2025-02-27
474,HAVELLS,20,2025-03-27
476,HAVELLS,40,2025-04-24
478,HCLTECH,20,2025-02-27
480,HCLTECH,20,2025-03-27
482,HCLTECH,40,2025-04-24
484,HDFCAMC,50,2025-02-27
486,HDFCAMC,50,2025-03-27
488,HDFCAMC,100,2025-04-24
490,HDFCBANK,20,2025-02-27
492,HDFCBANK,20,2025-03-27
494,HDFCBANK,40,2025-04-24
496,HDFCLIFE,10,2025-02-27
498,HDFCLIFE,10,2025-03-27
500,HDFCLIFE,20,2025-04-24
502,HEROMOTOCO,50,2025-02-27
504,HEROMOTOCO,50,2025-03-27
506,HEROMOTOCO,100,2025-04-24
508,HFCL,5,2025-02-27
510,HFCL,5,2025-03-27
512,HFCL,5,2025-04-24
514,HINDALCO,10,2025-02-27
516,HINDALCO,10,2025-03-27
518,HINDALCO,20,2025-04-24
520,HINDCOPPER,5,2025-02-27
522,HINDCOPPER,5,2025-03-27
524,HINDCOPPER,10,2025-04-24
526,HINDPETRO,5,2025-02-27
528,HINDPETRO,5,2025-03-27
530,HINDPETRO,10,2025-04-24
532,HINDUNILVR,20,2025-02-27
534,HINDUNILVR,20,2025-03-27
536,HINDUNILVR,40,2025-04-24
538,HUDCO,5,2025-02-27
540,HUDCO,5,2025-03-27
542,HUDCO,10,2025-04-24
545,ICICIBANK,10,2025-02-27
546,ICICIBANK,10,2025-03-27
548,ICICIBANK,20,2025-04-24
550,ICICIGI,20,2025-02-27
553,ICICIGI,20,2025-03-27
555,ICICIGI,40,2025-04-24
557,ICICIPRULI,10,2025-02-27
558,ICICIPRULI,10,2025-03-27
561,ICICIPRULI,20,2025-04-24
562,IDEA,1,2025-02-27
564,IDEA,1,2025-03-27
567,IDEA,2,2025-04-24
568,IDFCFIRSTB,1,2025-02-27
570,IDFCFIRSTB,1,2025-03-27
573,IDFCFIRSTB,2,2025-04-24
574,IEX,5,2025-02-27
576,IEX,5,2025-03-27
579,IEX,5,2025-04-24
580,IGL,5,2025-02-27
582,IGL,5,2025-03-27
585,IGL,5,2025-04-24
586,INDHOTEL,10,2025-02-27
588,INDHOTEL,10,2025-03-27
590,INDHOTEL,20,2025-04-24
593,INDIAMART,20,2025-02-27
594,INDIANB,10,2025-02-27
596,INDIANB,10,2025-03-27
598,INDIANB,20,2025-04-24
600,INDIGO,50,2025-02-27
602,INDIGO,50,2025-03-27
604,INDIGO,100,2025-04-24
606,INDUSINDBK,10,2025-02-27
608,INDUSINDBK,10,2025-03-27
610,INDUSINDBK,20,2025-04-24
612,INDUSTOWER,5,2025-02-27
614,INDUSTOWER,5,2025-03-27
616,INDUSTOWER,10,2025-04-24
618,INFY,20,2025-02-27
