,symbol,move_iv
120,LICI,27.819000000000003
121,LODHA,51.50899999999999
124,LT,25.926
122,LTIM,38.579
123,LTTS,48.577
125,LUPIN,30.520000000000003
127,M&M,25.312
126,M&MFIN,37.478
128,MARICO,20.054
129,MARUTI,19.108
130,MAXHEALTH,37.527
131,MCX,45.506
132,MFSL,39.023
133,MGL,38.054
134,MOTHERSON,31.331000000000003
135,MPHASIS,27.32
136,MRF,22.564
137,MUTHOOTFIN,31.477000000000004
138,NATIONALUM,41.897
139,NAUKRI,36.322
140,NAVINFLUOR,34.855000000000004
141,NCC,42.302
142,NESTLEIND,19.699
143,NHPC,34.996
144,NIFTY,14.2085
145,NMDC,41.278
146,NTPC,27.334
147,NYKAA,38.74
148,OBEROIRLTY,51.06
149,OFSS,58.32
150,OIL,41.443000000000005
151,ONGC,24.945
152,PAGEIND,32.316
153,PAYTM,67.245
154,PEL,32.632000000000005
155,PERSISTENT,44.358
156,PETRONET,24.338
157,PFC,36.941
158,PIDILITIND,25.163
159,PIIND,28.093000000000004
160,PNB,35.2935
161,POLICYBZR,49.627
162,POLYCAB,47.1825
163,POONAWALLA,38.502
164,POWERGRID,28.368
165,PVRINOX,39.141
166,RAMCOCEM,35.058
167,RECLTD,35.2235
168,RELIANCE,22.5235
169,SAIL,35.012
170,SBICARD,38.332
171,SBILIFE,33.921
172,SBIN,24.6105
173,SHREECEM,29.891
174,SHRIRAMFIN,43.242
175,SIEMENS,37.354
176,SJVN,51.751000000000005
177,SONACOMS,34.956
178,SRF,26.725
179,SUNPHARMA,27.048
180,SUNTV,24.213
181,SUPREMEIND,38.347
182,SYNGENE,28.72
183,TATACHEM,29.265
184,TATACOMM,39.833
185,TATACONSUM,24.082
186,TATAELXSI,28.067
187,TATAMOTORS,27.1785
188,TATAPOWER,28.187000000000005
189,TATASTEEL,27.722
190,TCS,19.3465
191,TECHM,30.529000000000003
192,TITAN,21.642
193,TRENT,42.472
194,TVSMOTOR,30.174000000000003
195,ULTRACEMCO,28.271
196,UNIONBANK,31.741500000000002
197,UNITDSPR,30.932
198,UPL,27.052
199,VBL,36.277
200,VEDL,36.370999999999995
201,VOLTAS,34.072
202,WIPRO,35.807500000000005
203,YESBANK,41.85
204,ZOMATO,67.379
205,ZYDUSLIFE,21.635
