,symbol,date,average_iv,std_iv,coeff_of_var,bench_mark_iv,avg_full_move,avg_short_move,avg_long_move,highest_iv,lowest_iv,avg_normal_iv,higest_normal_iv,lowest_normal_iv,stddev_normal_iv,highest_normal_fut_close,lowest_normal_fut_close,avg_normal_fut_close,full_move,long_move,fut_close
29,BANKBARODA,2025-02-27,27.979780963475125,2.8800552956088223,9.715015196456639,30.215161290322584,1.125,13.25,2.5,40.19049999999999,19.2805,27.707217260649514,33.738,22.2255,2.4284379027597227,267.8,200.66,240.59769637632232,3.272779049235994,2.2909453344651953,206.0732258064516
30,BANKINDIA,2025-02-27,29.402931249110825,5.177968201567661,5.678468871286021,35.2214193548387,1.5,12.5,2.25,46.555,25.044,29.189395870042716,39.75,25.044,4.968941239921843,120.6,91.76,109.1297848104121,1.7847990818336157,1.2493593572835309,96.29193548387097
31,BANKNIFTY,2025-02-27,15.374276536124238,2.120940808260499,7.248800379645453,17.343258064516128,0.75,9.125,1.625,21.599,10.3365,15.012872709028484,19.616,11.143,1.6417373389718135,54625.0,48113.75,51456.150830519924,449.2287215993208,314.46010511952454,49210.16935483871
32,BATAINDIA,2025-02-27,23.528051077473716,3.2291884981176016,7.2860568812223185,26.696596774193555,2.0,17.375,2.875,36.6005,14.529,22.958405796907957,29.986,17.085,2.49768340412004,1482.25,1204.1,1376.1368343461627,18.083431604414265,12.658402123089985,1288.3000000000002
33,BEL,2025-02-27,31.27031847787965,3.606105506519363,8.671492950316356,36.67124193548388,1.5,14.125,2.375,47.13,19.572,30.86598282224877,38.4815,24.066000000000003,2.9908654141199045,320.75,242.1,287.2902296648561,4.725765046264856,3.308035532385399,245.27903225806455
34,BERGEPAINT,2025-02-27,24.74761239809107,2.490583244804807,9.936472691572531,24.975741935483867,1.25,14.5,2.5,36.538,14.3275,24.461089032737306,29.727,19.767000000000003,1.8189000960556827,634.0,440.0,517.2501868107134,6.466088135823428,4.526261695076399,492.0403225806452
35,BHARATFORG,2025-02-27,29.341085715359366,4.787496446862804,6.128690859830564,30.510790322580643,1.75,21.25,3.125,47.687000000000005,19.708,28.532381606624597,38.914,19.9275,3.579561703082662,1633.9,1052.2,1365.3068984920099,17.24100527886248,12.068703695203736,1077.4629032258067
36,BHARTIARTL,2025-02-27,20.437708057255577,2.284428146907074,8.946531360562394,17.206032258064518,0.75,11.625,1.5,29.135500000000004,15.098,20.092804934474458,24.993,15.878999999999998,1.7153751011186544,1790.0,1522.6,1636.669653387351,15.127271887096777,10.589090320967744,1671.1967741935487
37,BHEL,2025-02-27,36.79690689663811,4.169931880725699,8.824342447108345,42.077435483870964,1.5,12.5,2.25,56.7105,25.64,36.28728485903421,45.136,28.486999999999995,3.5107881956732663,293.55,183.55,239.11332635606573,4.135768987691001,2.8950382913837003,187.13838709677415
38,BIOCON,2025-02-27,31.74669223157473,4.099030002466966,7.744927998201588,36.37887096774194,1.75,15.125,3.0,60.07599999999999,14.215,31.456086694243364,39.9445,23.623,3.3994025761145577,404.65,306.95,359.83732838172403,6.4830977419354845,4.538168419354839,339.1467741935483
39,BOSCHLTD,2025-02-27,24.937077170699936,3.1128019026320892,8.011135289275527,23.30224193548387,1.125,16.625,3.0,38.606,16.46,24.673840897302906,31.151,18.716,2.6281906738549425,39218.1,26539.8,33969.78587891065,332.023220651528,232.41625445606957,27076.525806451613
40,BPCL,2025-02-27,29.865339220401825,3.0162137755278997,9.901598972431845,29.86201612903226,1.25,12.125,1.875,40.0935,21.661,29.50663973522184,35.8905,23.8355,2.467534668759812,378.1,243.0,304.96214607247356,3.9677189325127333,2.777403252758913,252.66935483870967
41,BRITANNIA,2025-02-27,21.464226809468414,3.122999258804731,6.872952899029326,20.891580645161294,0.625,12.875,1.625,33.706,12.212,20.91598079987038,27.701,15.22,2.092036348024262,6498.7,4699.05,5364.5516261534995,53.620990617996625,37.534693432597635,4888.530645161291
42,BSE,2025-02-27,46.7664310373702,4.668123473105132,10.018250653996134,43.441403225806454,1.375,15.75,3.375,58.3125,34.251,46.99163967870693,56.0995,37.431,4.3999441174518195,6103.55,4505.4,5022.8721550754,118.25207235993209,82.77645065195246,5181.075806451613
43,BSOFT,2025-02-27,33.59205099331112,4.642835821343355,7.235244209775141,30.451725806451613,1.625,19.5,3.5,74.939,18.35,33.28039552376193,42.8705,24.331,3.9386817414784696,681.3,464.8,578.972434166104,7.576068836162989,5.303248185314092,474.68387096774194
44,CAMS,2025-02-27,31.1977285768483,7.053279795088949,4.423151992151314,41.62172580645162,1.375,13.75,2.25,57.812,25.278,30.706384137729515,45.302,25.278,6.442627697167502,5382.75,3265.0,4746.701598019356,71.89605478777591,50.327238351443135,3291.1096774193556
45,CANBK,2025-02-27,30.611705358484897,3.324935440366841,9.20670668874927,30.873322580645162,1.5,13.625,2.375,44.086,20.1135,30.272132532493107,37.2595,23.97,2.678161533919658,114.08,83.7,101.58000405131668,1.378250116468591,0.9647750815280136,84.8541935483871
46,CANFINHOME,2025-02-27,29.99490862163102,3.1256677500485357,9.596320217068898,31.462612903225804,0.75,16.875,2.0,43.8185,10.727,29.98751219262557,36.24,23.744,2.7811350821501284,953.9,595.05,790.7995284717532,9.918174735993208,6.942722315195246,599.3725806451613
47,CDSL,2025-02-27,43.11552378378379,6.200332234212652,6.953744114852066,39.52662903225806,1.5,15.625,2.125,56.037000000000006,30.128500000000003,43.1225875835137,55.4535,30.724,6.190804953035912,1995.1,1165.9,1607.8747242853924,24.548116977928686,17.18368188455008,1183.4661290322579
48,CESC,2025-02-27,33.65527814530279,4.117923801486914,8.172875402199143,39.26217741935485,2.0,14.75,2.875,54.87499999999999,26.8565,32.98099248770944,41.882000000000005,26.8565,3.05755300208391,204.37,119.28,169.8210537924826,2.6423445403225814,1.8496411782258069,128.05870967741936
49,CGPOWER,2025-02-27,37.705964053682365,4.245496193878078,8.881403334680554,41.56606451612903,1.125,15.0,2.75,61.281,26.533,37.37053952306789,46.195,29.217,3.0793022379880384,814.9,529.0,719.9716954799208,12.607643674023768,8.825350571816637,578.3645161290323
50,CHAMBLFERT,2025-02-27,33.41240605163459,4.369319389936873,7.647050505986774,35.150274193548384,1.25,17.75,2.75,57.489,14.892,33.469452765866784,42.146,24.879,3.5918299596886722,559.3,446.0,503.34580463650684,9.823576629881153,6.876503640916806,532.6209677419355
51,CHOLAFIN,2025-02-27,29.50795101207475,2.304339703504695,12.80538236927298,33.33791935483871,1.0,13.0,2.75,39.079,19.266,29.321548034296942,34.11450000000001,24.899500000000003,1.88648725747663,1661.5,1175.2,1360.8198582039163,23.827839202037353,16.679487441426147,1354.2112903225805
52,CIPLA,2025-02-27,22.863916954757254,2.44010569572982,9.370051877166249,20.90509677419355,0.875,12.25,2.125,33.872,13.406,22.409622349918877,27.743,17.987000000000002,1.7208827993044942,1708.8,1378.3,1533.068317578213,16.304875215619695,11.413412650933786,1481.7903225806451
53,COALINDIA,2025-02-27,25.14540242497119,2.2005754358482674,11.42673957699535,24.113709677419354,1.75,15.0,2.625,38.435,18.556,24.867528338529837,29.544500000000003,20.749,1.7741178083213982,531.15,349.9,430.48682196713924,4.573989983022071,3.2017929881154497,361.1177419354838
54,COFORGE,2025-02-27,31.23793814820382,3.646533434834995,8.566475176064671,32.8631129032258,0.875,13.875,2.0,41.3825,21.0785,31.4582387308247,38.5285,23.948,3.310635531189965,9839.95,6258.95,8134.949619626378,133.3965641867572,93.37759493073003,7712.670967741934
55,COLPAL,2025-02-27,24.463548900245506,2.5781612512161796,9.488758272472474,25.22066129032258,1.5,12.5,1.75,33.843,16.954,24.15933310760569,29.6195,19.308,2.1219127286511728,3891.2,2418.4,3066.81509002926,32.490185056451615,22.74312953951613,2451.0774193548386
56,CONCOR,2025-02-27,26.48033527481337,2.714460311940376,9.755285482838557,31.51508064516129,1.5,15.625,2.875,40.875,19.287,26.16481616301563,31.904,21.052,2.231306282386472,981.7,661.85,824.6185212694126,11.277422805602717,7.894195963921901,680.8741935483872
57,COROMANDEL,2025-02-27,28.109376571972543,2.478244944591901,11.342452905356936,30.797064516129034,1.75,14.375,3.125,40.395,21.194,27.844154565051657,33.065,23.155,2.060053771844267,1983.65,1564.3,1759.9387058293946,27.69628638879457,19.387400472156198,1709.6693548387095
58,CROMPTON,2025-02-27,30.38704972818599,3.9367023625811752,7.718909617607497,30.40656451612903,1.25,16.75,3.125,43.54,21.523,29.950287991163012,38.26,22.518,3.42858304198584,483.5,325.75,399.4465001125367,5.304345162563666,3.713041613794566,332.1903225806452
59,CUB,2025-02-27,29.320634688611655,3.7302022618303092,7.860333738102666,26.498451612903235,1.625,17.375,3.875,46.150000000000006,19.9265,29.032976455977174,36.77550000000001,21.861,3.2525562389030416,187.99,150.1,171.53753454872833,2.1910035517826834,1.5337024862478783,157.74677419354842
60,CUMMINSIND,2025-02-27,30.6213114258474,4.175361442285624,7.33381094046916,32.55024193548387,1.125,15.75,2.75,48.28,20.943,29.926441934799332,38.971,22.495,3.0268615409630755,3951.1,2646.7,3396.665119288768,46.599954257215614,32.61996798005093,2723.911290322581
61,CYIENT,2025-02-27,35.57682898231137,4.469637089989109,7.959668372628002,39.43416129032258,1.125,13.875,2.0,60.444,24.616,34.59664370748298,44.492,27.009,2.4569009720870008,2117.95,1277.1,1795.0772878685575,30.6517584745331,21.45623093217317,1475.914516129032
62,DABUR,2025-02-27,21.090787501878854,1.8317270454012842,11.514154117464814,18.92608064516129,0.5,11.75,1.25,29.6745,15.723,20.961375116870975,24.754,17.4305,1.6121361788336106,676.2,500.4,552.9518546027458,5.14092116893039,3.5986448182512727,516.3919354838711
63,DALBHARAT,2025-02-27,27.858254169355234,2.86575292565016,9.721094208788069,28.605467741935477,1.0,12.5,2.125,54.031,20.264,27.510450019646367,33.586,22.129,2.362129089765441,1994.95,1678.05,1839.7755649336034,27.085614074278432,18.9599298519949,1801.416129032258
64,DEEPAKNTR,2025-02-27,28.92469625723376,3.8117122006184743,7.588373606102933,41.008935483870964,1.625,13.5,2.75,49.313,18.995,28.26577861619993,36.545,21.314,2.8308855091072225,3037.0,1886.8,2635.092368932917,41.00569793633276,28.70398855543293,1899.7645161290325
65,DELHIVERY,2025-02-27,32.876331379491845,4.763345118760423,6.901941925225719,38.29759677419355,2.125,15.875,3.0,54.366,19.64,31.97696787871001,42.402,25.521,3.5063062538354277,395.75,274.35,336.8557957393484,5.368718368845501,3.7581028581918505,267.25645161290316
66,DIVISLAB,2025-02-27,24.610609850192898,2.7784680511508077,8.85761844193223,25.278790322580644,1.5,15.125,3.125,39.2225,16.354499999999998,24.32435693474723,30.164,19.054,2.1389825092775654,6305.85,5038.0,5813.812589466577,77.82009077674024,54.47406354371817,5849.095161290324
67,DIXON,2025-02-27,37.86609959166291,4.769273293271439,7.939595251353064,42.31525806451613,1.25,12.75,2.125,57.23350000000001,27.15300000000001,37.236665495851334,47.396,28.3445,3.8806333793238657,19239.65,12090.0,15460.844929101959,311.79663837011884,218.25764685908317,14029.306451612903
68,DLF,2025-02-27,27.997379916328473,3.8516402608416116,7.268949855200351,33.8596129032258,1.75,18.25,3.125,42.265,19.2325,27.34174914780293,35.700500000000005,20.445,2.890244078093521,934.9,652.45,815.5424735539049,11.987194010186755,8.391035807130729,672.8951612903227
