,Unnamed: 0.1,Unnamed: 0,symbol,long_move_val,fut_benchmark,long_moves,days_theta,idv_updated_time
146,146,146,MGL,15.61298516129032,1184.0,3.0,1.5,2024-11-25 12:01:46.465925
147,147,147,TVSMOTOR,22.70994100848896,2467.15,3.0,1.5,2024-11-25 12:01:46.465925
148,148,148,ADANIPORTS,24.844777405772493,1161.95,2.0,1.0,2024-11-25 12:01:46.465925
149,149,149,DABUR,4.2176180468590845,524.0,3.0,1.5,2024-11-25 14:22:18.922930
150,150,150,JUBLFOOD,6.331129187775891,641.95,5.0,2.5,2024-11-25 12:01:46.465925
151,151,151,IDEA,0.169906170475382,6.74,1.0,0.5,2024-11-25 12:01:46.465925
152,152,152,IOC,1.5248324903225807,136.7,3.0,1.5,2024-11-25 12:01:46.465925
153,153,153,INDUSINDBK,10.324396792529711,1007.05,2.0,1.0,2024-11-25 12:01:46.465925
154,154,154,ONGC,2.550659821731749,258.25,6.0,3.0,2024-11-25 12:01:46.465925
155,155,155,VEDL,4.879402529711375,444.8677419354838,0.0,0.0,2024-11-25 09:19:24.078985
156,156,156,BIOCON,3.939875891511037,337.15,3.0,1.5,2024-11-25 12:01:46.465925
157,157,157,LT,26.49503298705433,3750.25,9.0,4.5,2024-11-25 12:01:46.465925
158,158,158,BOSCHLTD,302.21737736842096,34966.7,3.0,1.5,2024-11-25 12:01:46.465925
159,159,159,AUBANK,5.961006958658742,598.7,2.0,1.0,2024-11-25 12:01:46.465925
160,160,160,SRF,20.613986914601018,2234.4,4.0,2.0,2024-11-25 12:01:46.465925
161,161,161,PIIND,42.64014847877757,4186.15,1.0,0.5,2024-11-25 12:01:46.465925
162,162,162,LTTS,53.49380142105263,5425.35,4.0,2.0,2024-11-25 12:01:46.465925
163,163,163,TITAN,26.64814431239389,3317.05,5.0,2.5,2024-11-25 12:01:46.465925
164,164,164,ABBOTINDIA,246.1631713578946,27817.85,2.0,1.0,2024-11-25 12:01:46.465925
165,165,165,TATASTEEL,1.5162492305602715,145.05,3.0,1.5,2024-11-25 12:01:46.465925
166,166,166,SBIN,7.189115063837013,844.85,8.0,4.0,2024-11-25 12:01:46.465925
167,167,167,PERSISTENT,67.60455959252971,5929.8,3.0,1.5,2024-11-25 12:01:46.465925
168,168,168,SBILIFE,13.572989504753815,1487.5758064516128,0.0,0.0,2024-11-25 09:19:24.078985
169,169,169,ASHOKLEY,2.135000831918506,232.7,6.0,3.0,2024-11-25 12:01:46.465925
170,170,170,NESTLEIND,15.03197683319185,2280.15,4.0,2.0,2024-11-25 12:01:46.465925
171,171,171,METROPOLIS,,2027.5193548387088,0.0,0.0,2024-11-25 09:19:24.078985
172,172,172,COROMANDEL,18.4179565844652,1793.8,5.0,2.5,2024-11-25 14:22:18.922930
173,173,173,IGL,5.671473387096773,325.8,2.0,1.0,2024-11-25 12:01:46.465925
174,174,174,PETRONET,3.0611298848896444,331.8,3.0,1.5,2024-11-25 12:01:46.465925
175,175,175,BATAINDIA,11.098139684210532,1327.05,5.0,2.5,2024-11-25 12:01:46.465925
176,176,176,HDFCLIFE,6.104560629881154,690.3,2.0,1.0,2024-11-25 12:01:46.465925
177,177,177,NAVINFLUOR,31.09016085713073,3426.0,5.0,2.5,2024-11-25 12:01:46.465925
178,178,178,HEROMOTOCO,46.364879807045845,4900.0,3.0,1.5,2024-11-25 14:22:18.922930
