,symbol,long_move_val,long_move_val_track,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track
195,HAVELLS,17.084915968081496,6.101755702886249,1524.95,1528.3,3,12,1.5,2025-01-29 14:25:42.948423,2025-01-29 14:59:13.383812
196,MCX,81.4265324080645,29.08090443145161,5673.2,5699.35,3,19,1.5,2025-01-29 10:08:30.218695,2025-01-29 13:35:06.269615
197,TATAELXSI,71.35442809431238,25.48372431939728,6156.9,6166.1,3,17,1.5,2025-01-29 12:58:04.595485,2025-01-29 15:21:35.345636
198,SONACOMS,7.622262349745333,2.722236553480476,505.1,506.65,5,22,2.5,2025-01-29 11:26:02.158661,2025-01-29 15:22:26.344649
199,MGL,9999999.0,2499999.75,1256.6903225806452,1256.6903225806452,0,0,0.0,2025-01-29 09:11:48.318825,2025-01-29 09:11:48.318825
200,DABUR,5.26570146557725,1.8806076662775888,515.9,517.55,2,8,1.0,2025-01-29 10:01:40.988244,2025-01-29 13:07:09.990662
201,MAXHEALTH,17.620957421052633,6.29319907894737,1021.25,1023.35,3,20,1.5,2025-01-29 09:36:04.753627,2025-01-29 14:58:55.063860
202,INDUSINDBK,14.039165445670626,5.013987659168081,947.0,952.9,1,6,0.5,2025-01-29 14:03:19.165037,2025-01-29 15:29:47.718212
203,BANKNIFTY,376.17981090611215,134.34993246646863,48926.0,49069.0,1,9,0.5,2025-01-29 09:15:01.130445,2025-01-29 13:56:27.573191
204,CAMS,66.82750734834464,23.86696691012309,3997.0,3975.7,5,41,2.5,2025-01-29 15:19:38.750856,2025-01-29 15:24:28.319112
205,ONGC,3.18793154295416,1.1385469796264858,249.20612903225808,251.68,0,10,0.0,2025-01-29 09:11:48.318825,2025-01-29 13:17:58.550178
206,VEDL,6.195058784550086,2.212520994482173,432.0,431.0,1,8,0.5,2025-01-29 14:01:48.126338,2025-01-29 14:01:23.361965
207,JIOFIN,3.713890914940576,1.3263896124787773,238.9,239.9,1,11,0.5,2025-01-29 15:16:05.544446,2025-01-29 15:24:28.319112
208,OIL,7.479009855008488,2.671074948217317,405.45,406.7,4,16,2.0,2025-01-29 14:51:06.646875,2025-01-29 14:55:42.737721
209,POLICYBZR,31.708620313667232,11.324507254881157,1704.85,1716.15,4,15,2.0,2025-01-29 11:52:13.917361,2025-01-29 15:14:03.893558
210,AUBANK,7.092727240492361,2.533116871604415,597.55,595.7,9,41,4.5,2025-01-29 09:47:18.782412,2025-01-29 15:01:24.615902
211,SRF,33.44232894804754,11.94368891001698,2661.75,2661.9,7,51,3.5,2025-01-29 13:26:49.692049,2025-01-29 15:17:17.904952
