,symbol,long_move_val,full_move,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track,long_move_val_track
63,ALKEM,70.82913273769101,101.1844753395586,5149.8,5128.85,5,57,2.5,2025-02-07 14:44:03.984978,2025-02-07 14:39:44.076364,25.29611883488965
64,HUDCO,3.2890875251612903,4.6986964645161295,206.7,207.28,4,27,2.0,2025-02-07 14:08:14.335835,2025-02-07 15:05:22.305719,1.1746741161290324
65,BPCL,2.6881194551782674,3.840170650254668,263.7,265.0,2,19,1.0,2025-02-07 10:54:50.542798,2025-02-07 15:15:58.915396,0.960042662563667
66,TATAMOTORS,7.762247066511035,11.08892438073005,713.2483870967742,710.4,0,15,0.0,2025-02-07 09:10:10.294467,2025-02-07 15:09:53.570324,2.7722310951825127
67,HINDCOPPER,4.284082970560272,6.120118529371817,245.98,244.83,1,16,0.5,2025-02-07 11:31:10.296017,2025-02-07 15:09:26.675098,1.5300296323429543
68,SOLARINDS,155.3832541935484,221.97607741935488,9118.95,9141.0,4,23,2.0,2025-02-07 11:02:57.557839,2025-02-07 14:51:52.772948,55.49401935483872
69,POLYCAB,75.04433024634973,107.2061860662139,5882.05,5883.1,2,18,1.0,2025-02-07 13:53:57.245111,2025-02-07 13:53:37.074347,26.801546516553476
70,RECLTD,6.82853196646859,9.7550456663837,438.5,438.8,7,49,3.5,2025-02-07 13:49:42.200262,2025-02-07 15:08:42.358892,2.438761416595925
71,IPCALAB,22.01278454783532,31.446835068336167,1523.0,1516.3,2,15,1.0,2025-02-07 11:36:46.001443,2025-02-07 15:20:12.975947,7.861708767084042
72,MOTHERSON,2.1146838446179963,3.020976920882852,139.29,138.99,1,8,0.5,2025-02-07 11:31:22.579042,2025-02-07 15:27:07.597532,0.755244230220713
73,TATACHEM,10.236499853310695,14.623571219015282,927.25,934.3,3,17,1.5,2025-02-07 14:12:31.782446,2025-02-07 15:16:09.949164,3.6558928047538206
74,PAGEIND,452.163225468803,645.9474649554329,42364.6,42382.35,4,29,2.0,2025-02-07 13:53:37.074347,2025-02-07 15:10:39.396907,161.48686623885823
75,NTPC,2.869408647368421,4.099155210526316,317.3,318.0,1,21,0.5,2025-02-07 10:46:21.330294,2025-02-07 15:15:45.319557,1.024788802631579
76,JSWSTEEL,8.719097677589133,12.455853825127337,977.35,984.7,3,24,1.5,2025-02-07 11:16:00.463741,2025-02-07 15:13:21.474704,3.113963456281834
77,HAL,54.82916781833617,78.3273825976231,3767.6,3804.9,2,16,1.0,2025-02-07 12:15:15.095221,2025-02-07 15:00:05.055151,19.581845649405775
78,PAYTM,13.568159800679116,19.383085429541595,814.0,808.6,1,19,0.5,2025-02-07 11:04:08.961552,2025-02-07 14:04:19.583753,4.845771357385399
79,TCS,28.4882419999151,40.69748857130729,4033.0,4037.9,2,13,1.0,2025-02-07 13:14:21.939439,2025-02-07 15:09:47.342451,10.174372142826822
80,ESCORTS,45.63878457894736,65.19826368421052,3267.5,3276.55,2,19,1.0,2025-02-07 14:08:33.919922,2025-02-07 15:10:20.606616,16.29956592105263
81,ICICIPRULI,5.870958478522919,8.387083540747028,600.5,601.25,2,27,1.0,2025-02-07 11:21:35.825110,2025-02-07 15:20:59.145040,2.096770885186757
82,ANGELONE,36.5695658631579,52.242236947368426,2371.1,2386.55,3,25,1.5,2025-02-07 14:13:06.964555,2025-02-07 14:52:04.125286,13.060559236842106
83,HFCL,1.488226270797962,2.1260375297113745,100.46,100.75,4,18,2.0,2025-02-07 14:09:19.284937,2025-02-07 14:59:24.033093,0.5315093824278436
84,HINDUNILVR,15.74206902079796,22.488670029711376,2364.45,2371.1,5,19,2.5,2025-02-07 12:50:13.027102,2025-02-07 15:16:48.021429,5.622167507427844
85,NHPC,1.1805275932258066,1.686467990322581,76.50548387096775,76.38,0,19,0.0,2025-02-07 09:10:10.294467,2025-02-07 15:22:47.049808,0.42161699758064525
86,TVSMOTOR,26.646474235993203,38.06639176570458,2602.05,2616.35,2,20,1.0,2025-02-07 14:17:09.966465,2025-02-07 15:00:05.055151,9.516597941426145
87,POONAWALLA,4.341018343718165,6.201454776740237,314.1,316.35,5,27,2.5,2025-02-07 14:19:30.849490,2025-02-07 15:09:42.284288,1.5503636941850591
88,HCLTECH,12.257385575806452,17.510550822580647,1729.15,1727.1,2,17,1.0,2025-02-07 10:38:22.774206,2025-02-07 15:26:32.949923,4.377637705645162
89,ADANIPORTS,11.923596192147704,17.033708845925293,1142.2,1149.5,6,36,3.0,2025-02-07 14:11:51.134400,2025-02-07 15:09:47.342451,4.258427211481323
90,ZOMATO,3.4867891889134137,4.981127412733448,233.4,233.54,3,15,1.5,2025-02-07 14:37:57.324977,2025-02-07 14:38:02.919070,1.245281853183362
91,JUBLFOOD,10.795595114601015,15.42227873514431,686.0,687.8,1,13,0.5,2025-02-07 10:23:35.161224,2025-02-07 14:53:04.127076,3.8555696837860776
92,IDEA,0.2586113599999999,0.3694447999999999,9.58,9.52,1,8,0.5,2025-02-07 11:11:52.356690,2025-02-07 13:54:27.713577,0.09236119999999998
93,DELHIVERY,4.8568881845925285,6.938411692275041,321.8,321.0,5,45,2.5,2025-02-07 15:26:17.187808,2025-02-07 15:26:10.284220,1.7346029230687603
94,IOC,1.271067257419355,1.8158103677419355,125.06,125.69,3,19,1.5,2025-02-07 14:13:09.813004,2025-02-07 15:15:56.339505,0.4539525919354839
95,ATGL,9.75746898998302,13.939241414261458,617.2,622.0,1,15,0.5,2025-02-07 14:13:39.675570,2025-02-07 15:10:11.670849,3.4848103535653645
96,BIOCON,5.312705872241085,7.589579817487265,391.25,387.55,1,23,0.5,2025-02-07 10:04:50.302627,2025-02-07 14:08:51.801770,1.8973949543718163
97,LT,27.45426965687606,39.22038522410866,3343.0,3348.95,3,20,1.5,2025-02-07 12:13:51.317337,2025-02-07 15:10:14.733452,9.805096306027165
98,BOSCHLTD,281.2981021117997,401.8544315882853,28246.1,28188.3,2,12,1.0,2025-02-07 11:25:48.903022,2025-02-07 15:08:31.521956,100.46360789707133
99,NCC,3.94747558204584,5.639250831494058,206.7,206.0,11,53,5.5,2025-02-07 12:19:33.168265,2025-02-07 15:10:56.312229,1.4098127078735145
100,PIIND,51.681573676146,73.83081953735143,3518.05,3540.0,8,51,4.0,2025-02-07 10:27:49.287542,2025-02-07 13:53:37.074347,18.457704884337858
101,LTTS,57.81370712983871,82.59101018548388,5607.1,5626.85,1,16,0.5,2025-02-07 10:58:28.954666,2025-02-07 15:10:11.670849,20.64775254637097
102,ABBOTINDIA,290.1741479202037,414.5344970288625,29836.35,29892.55,2,32,1.0,2025-02-07 13:43:11.637278,2025-02-07 15:00:19.496226,103.63362425721563
103,PERSISTENT,77.25466496179966,110.36380708828524,6230.0,6266.35,2,21,1.0,2025-02-07 12:26:10.649850,2025-02-07 15:07:21.200454,27.59095177207131
104,UNIONBANK,1.5022453450254667,2.1460647786078098,118.82,117.79,2,26,1.0,2025-02-07 10:17:49.817833,2025-02-07 14:26:48.817111,0.5365161946519524
105,ASHOKLEY,2.681656353752121,3.830937648217316,212.9,212.95,3,18,1.5,2025-02-07 12:24:13.112320,2025-02-07 14:09:16.786473,0.957734412054329
106,IGL,2.855042285908319,4.078631837011884,198.9,198.9,2,12,1.0,2025-02-07 15:25:41.059328,2025-02-07 15:25:41.059328,1.019657959252971
107,METROPOLIS,18.781952439728357,26.831360628183365,1855.95,1847.4,2,17,1.0,2025-02-07 11:06:49.387823,2025-02-07 15:03:41.530261,6.707840157045841
108,JSL,8.41842854702886,12.026326495755516,644.8,646.15,3,25,1.5,2025-02-07 11:12:15.703511,2025-02-07 15:13:46.271038,3.006581623938879
109,BATAINDIA,16.065876946095074,22.95125278013582,1343.7,1334.6,1,6,0.5,2025-02-07 10:06:01.639328,2025-02-07 13:59:26.716103,5.737813195033955
110,TATACOMM,16.47770067037352,23.539572386247883,1610.95,1611.6,3,20,1.5,2025-02-07 12:14:55.463447,2025-02-07 14:53:14.965764,5.884893096561971
