,symbol,pct_change,strike_price,opt_ltp,params.delta,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val
108,INDUSTOWER,-4.362900895694886,340.0,7.1,0.38800024866842675,360.0,2.25,0.16272875728691907,-2.5999999999999996
93,HINDPETRO,-6.00842865743528,405.0,8.75,0.3652238101869534,430.0,3.075,0.16416181794170168,-2.5999999999999996
38,BIOCON,-2.9625639644492328,375.0,5.725,0.3211009592696842,400.0,1.525,0.11000870822622609,-2.675
53,COALINDIA,-3.8136128299027656,390.0,6.35,0.3739377557371777,410.0,1.8250000000000002,0.14344105476489435,-2.6999999999999993
95,HUDCO,-2.7938148492066697,255.0,5.55,0.3275372445958488,280.0,1.4249999999999998,0.10972185102019234,-2.7
203,TATAPOWER,-4.823956897631875,395.0,5.975,0.32184561927856575,420.0,1.625,0.11317061506273049,-2.7249999999999996
138,M&MFIN,-0.9678597516435353,280.0,6.475,0.38370674359177653,300.0,1.875,0.14943847200851698,-2.7249999999999996
117,JIOFIN,-3.8480194017784966,310.0,5.4,0.33171922223571115,335.0,1.275,0.10280786440560118,-2.8500000000000005
62,DABUR,-4.045092838196287,520.0,6.9,0.3442543847594236,545.0,2.0,0.12876732893817455,-2.9000000000000004
91,HINDALCO,-3.1468237273874626,590.0,10.45,0.3784929416289722,620.0,3.725,0.16840511182479265,-2.999999999999999
50,CHAMBLFERT,-4.1082264000795785,500.0,9.175,0.3487708257339696,530.0,3.05,0.14688820269259792,-3.075000000000001
176,POONAWALLA,-0.23965489694839429,325.0,6.575,0.3511177680365975,350.0,1.725,0.12289389823435479,-3.125
34,BERGEPAINT,-2.3187459177008494,460.0,7.125,0.3647513571056364,485.0,1.975,0.13269570033663255,-3.175
218,VEDL,-3.5501031375529255,460.0,8.45,0.35308756281237863,490.0,2.625,0.1388378357022352,-3.1999999999999993
58,CROMPTON,0.9211595773503117,385.0,6.9,0.35551315674619927,410.0,1.8250000000000002,0.12603684487147346,-3.25
216,UPL,-1.8509818660152215,540.0,7.35,0.3255958707138461,570.0,1.9749999999999999,0.11376295595675238,-3.4
0,AARTIIND,-3.853907269062019,420.0,6.975,0.341348914085769,450.0,1.775,0.1123977542207418,-3.425
77,GNFC,-5.4298245614035086,560.0,8.875,0.329545584104089,600.0,2.6500000000000004,0.11878798084687273,-3.5749999999999993
15,APOLLOTYRE,-2.9661430383452045,510.0,8.7,0.37313361294725306,540.0,2.5,0.1388697251177865,-3.6999999999999993
202,TATAMOTORS,-1.7762660619803479,800.0,13.55,0.3711770392123293,840.0,4.9,0.1656637788363193,-3.75
