,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,ltp,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val,sort_val
67,EICHERMOT,-0.5808028337637409,35.87503363707351,4950.0,54.349999999999994,-0.35762201661173676,5024.0,4750.0,15.025,-0.12107860982745877,-24.299999999999994,-0.004836783439490445
62,DIVISLAB,0.7733031943370413,70.00993388253991,5800.0,65.525,-0.32335472717213043,5929.35,5550.0,18.4,-0.11219315823668596,-28.72500000000001,-0.004844544511624378
38,BRITANNIA,0.790100445272859,95.8641936827364,4800.0,63.975,-0.3788620514701325,4866.65,4600.0,20.15,-0.14439148568145121,-23.675000000000004,-0.004864742687474958
125,LICI,1.1501032143910352,2.7061952894548993,840.0,9.075,-0.326020119579441,857.5,800.0,2.45,-0.10379903693476689,-4.174999999999999,-0.004868804664723031
159,PAGEIND,0.23538328921037613,36.677203144485894,45000.0,557.55,-0.357381171426858,45756.4,43000.0,166.15,-0.12718395647997616,-225.24999999999994,-0.0049228086125656725
80,HAVELLS,0.9050645099171963,49.33773562192092,1540.0,17.375,-0.3300710446231989,1572.0,1460.0,4.8,-0.10383175720540128,-7.775,-0.0049459287531806615
65,DMART,0.7515773417458227,0.3567999685919511,3550.0,37.55,-0.31298928894592426,3632.85,3350.0,9.725000000000001,-0.09057776497785097,-18.099999999999994,-0.004982314161058121
186,SRF,0.8351495747102051,99.70835118594479,2560.0,38.425,-0.35234728964580175,2614.0,2460.0,12.7,-0.15065320987616604,-13.024999999999999,-0.0049827850038255544
6,ADANIENT,-1.3905125207653972,94.14393874914086,2340.0,47.849999999999994,-0.35276288241377274,2404.05,2200.0,17.9,-0.15218753194472723,-12.049999999999997,-0.005012374950604187
106,IPCALAB,-0.1615926572296555,37.77335073435017,1520.0,21.45,-0.3705128826102595,1544.6,1460.0,6.85,-0.14972472407553705,-7.75,-0.005017480253787388
175,RECLTD,-0.5761316872427984,96.37903607981221,470.0,10.0,-0.3534113763170421,483.2,440.0,3.775,-0.15130476330834575,-2.45,-0.005070364238410597
166,PIIND,1.8559326884551544,37.37145874987804,3500.0,48.2,-0.36521187868907334,3559.05,3350.0,15.075,-0.14039507732784584,-18.050000000000004,-0.005071578089658758
143,MRF,-0.484664932707246,49.92849884360305,112000.0,1151.05,-0.33550167633430994,114018.7,107000.0,283.25,-0.10092704470899982,-584.55,-0.005126790605400693
10,AMBUJACEM,-0.9802108378028482,78.85030693453862,520.0,6.45,-0.3035685315820229,535.4,490.0,1.85,-0.09975883403388741,-2.75,-0.005136346656705267
30,BEL,2.135360115816142,82.62704368235599,275.0,4.3,-0.3357734987633487,282.2,260.0,1.4249999999999998,-0.1297749093902899,-1.4500000000000002,-0.0051381998582565565
0,ABB,3.1972719144862287,84.0764458790038,6400.0,104.3,-0.3676851134716589,6521.5,6100.0,35.325,-0.15120703005070146,-33.64999999999999,-0.005159855861381583
4,ACC,0.6339581036383682,99.78217651322362,1960.0,31.05,-0.3429768102527596,2008.05,1860.0,10.325,-0.13626395746982278,-10.400000000000002,-0.005179153905530242
212,VOLTAS,0.7517850964109339,98.44633423971727,1560.0,24.200000000000003,-0.33360815237824926,1601.5,1480.0,7.95,-0.13143296530858428,-8.300000000000002,-0.005182641273805809
180,SBIN,-0.2604845011721803,89.97804423810169,750.0,8.325,-0.3261099119042439,765.8,710.0,2.175,-0.0978189912454529,-3.9749999999999996,-0.005190650300339514
9,ALKEM,1.6992845625790505,32.243492719046664,5200.0,73.44999999999999,-0.38899107622076823,5266.65,5000.0,22.725,-0.1542720350127872,-27.999999999999986,-0.005316472520482657
8,ADANIPORTS,0.6275969529085873,90.68381771892939,1140.0,20.125,-0.3703435865758551,1162.45,1080.0,6.95,-0.15087217648043616,-6.225,-0.005355069035227321
165,PIDILITIND,0.9601605044425338,99.99822666841062,2760.0,42.6,-0.35485812126481586,2818.0,2640.0,13.725,-0.14495444912085542,-15.150000000000002,-0.005376153300212918
82,HDFCAMC,-1.5873015873015877,34.95569235430045,3950.0,46.95,-0.33698967707013594,4030.0,3750.0,12.6,-0.10697608077015053,-21.750000000000004,-0.0053970223325062044
22,BAJAJ-AUTO,-0.08610608502394099,99.99833746360802,8400.0,136.675,-0.3539839492142173,8586.65,8000.0,45.150000000000006,-0.14421085250488008,-46.375,-0.005400825700360444
58,DABUR,0.7069163163928162,90.83702441385417,520.0,6.3,-0.37335139955391095,527.1,500.0,1.725,-0.13198370429842454,-2.8499999999999996,-0.005406943653955605
24,BAJFINANCE,-0.9572602551318641,97.60970158820093,7100.0,105.6,-0.3843852661649956,7201.15,6800.0,33.175,-0.1512682234458691,-39.25,-0.005450518319990557
163,PETRONET,-1.6224412433661868,99.39342223173641,320.0,5.425000000000001,-0.3953306836188172,324.4,305.0,1.8250000000000002,-0.1610118689351705,-1.7750000000000004,-0.005471639950678176
91,ICICIBANK,-1.8236960772576718,99.99836931105558,1210.0,17.175,-0.3687711149466022,1230.1,1160.0,5.125,-0.14163125122464193,-6.925000000000001,-0.005629623607836762
40,BSOFT,-0.4024333177351427,96.0695941751785,520.0,11.100000000000001,-0.36970768701735435,532.1,490.0,4.05,-0.16018458046307504,-3.0000000000000018,-0.005638037962788952
183,SIEMENS,2.4761604146592684,82.79336004074518,6000.0,78.525,-0.3137367379623762,6168.45,5600.0,21.85,-0.09583465786531264,-34.825,-0.0056456646321199015
48,CIPLA,0.03803201604259586,99.92781814528921,1420.0,20.775,-0.36048974013166857,1446.7,1360.0,6.3,-0.1408395291793476,-8.174999999999999,-0.005650791456418054
85,HEROMOTOCO,0.38318866838877125,32.47820056850054,4000.0,39.05,-0.2997804871451213,4099.8,3800.0,7.9,-0.07723961510597299,-23.249999999999996,-0.005671008341870334
120,KOTAKBANK,-2.506085417127683,99.99999974950966,1720.0,22.9,-0.3281977172891136,1762.3,1640.0,6.45,-0.11720304396261438,-9.999999999999998,-0.0056744027691085505
124,LICHSGFIN,-0.6974485742032313,47.447636894657094,550.0,7.5,-0.33848299617160693,562.4,520.0,2.1500000000000004,-0.11408101763876421,-3.1999999999999993,-0.0056899004267425305
174,RAMCOCEM,-0.5050505050505051,81.23193207025545,870.0,12.25,-0.3567879761837587,886.5,830.0,3.5999999999999996,-0.13079342869064337,-5.050000000000001,-0.005696559503666103
56,CUMMINSIND,0.025545829217616403,64.05923244750916,2850.0,35.75,-0.3027510463377432,2936.65,2700.0,9.5,-0.09938884608342291,-16.75,-0.0057037781145182435
