,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val
49,CGPOWER,0.6278339727938612,12.638124840188885,700.0,17.15,-0.3566955742771478,650.0,5.125,-0.13570380883395328,-6.899999999999999
6,ADANIENSOL,1.800689072352597,8.455591311461987e-05,760.0,24.375,-0.374147961041712,700.0,8.7,-0.1631509095246555,-6.975000000000001
19,ATGL,-0.21687269572760792,0.0022469364141585392,660.0,19.1,-0.3315088907376007,600.0,5.875,-0.12533638001540826,-7.350000000000001
221,ZYDUSLIFE,3.9176111369870106,35.49050461701418,980.0,16.1,-0.34597777544234876,920.0,4.324999999999999,-0.11434747130634759,-7.450000000000003
195,SYNGENE,1.6544223983340083,75.31205904128812,860.0,18.525,-0.37600811034809356,810.0,5.4,-0.14469802191292147,-7.724999999999998
9,ADANIPORTS,0.8177770166124337,68.3511004441243,1140.0,20.4,-0.3255049667003703,1060.0,6.075,-0.11326133339986177,-8.249999999999998
78,GODREJCP,1.1667030806204939,60.566381800275174,1140.0,22.35,-0.39570493613812197,1080.0,6.875,-0.15526329692707785,-8.600000000000001
87,HDFCBANK,0.03198418236799255,91.29976417965666,1690.0,23.0,-0.35936047884934275,1620.0,7.15,-0.1396674616211786,-8.7
81,GRASIM,0.5007501115030613,27.10490261300481,2440.0,36.125,-0.37571521576359934,2340.0,13.55,-0.164644713656655,-9.024999999999999
196,TATACHEM,2.5422875553765603,56.39447059678472,1000.0,22.425,-0.3907564038059692,940.0,6.625,-0.15024942527663132,-9.175
32,BATAINDIA,0.207892882311487,51.37169468902529,1390.0,21.525,-0.34706164288602204,1320.0,6.15,-0.1261203168632381,-9.224999999999998
124,KOTAKBANK,-0.24665059700655867,99.70013118149326,1740.0,26.075,-0.3425936770692053,1660.0,8.3,-0.1358196958136736,-9.474999999999998
122,KALYANKJIL,-4.076177748078851,18.61175722311628,690.0,20.25,-0.3451726306120311,620.0,5.35,-0.11361098597521835,-9.55
176,PRESTIGE,0.4116399100725119,99.9999999997341,1550.0,46.925,-0.3916211855194198,1450.0,18.65,-0.18864589426717926,-9.625
140,MAXHEALTH,3.684961723108862,0.881604203586025,1160.0,26.5,-0.3432964904642335,1080.0,8.275,-0.1334401540208655,-9.95
25,BAJAJFINSV,-0.26866641079389453,29.812399542781616,1660.0,25.025,-0.3689755994363604,1580.0,7.5,-0.13628247603122712,-10.024999999999999
135,LUPIN,-0.13919352117428715,33.9896266939263,2320.0,37.525000000000006,-0.36070162214342494,2220.0,13.725,-0.15979781167801155,-10.075000000000006
51,CHOLAFIN,-1.3486956186659473,34.202140765434336,1240.0,20.475,-0.32012675888812514,1160.0,5.1,-0.10154300002121464,-10.275000000000002
17,ASIANPAINT,1.3023296741975934,80.67187320535973,2260.0,37.65,-0.3701504688564755,2160.0,13.675,-0.16237753481000672,-10.299999999999997
13,APLAPOLLO,-0.19373183764022123,0.12154493592661034,1560.0,30.5,-0.3618577716389937,1480.0,10.100000000000001,-0.15236658081531518,-10.299999999999997
36,BHARTIARTL,-0.050137879167711216,57.46238925227758,1560.0,20.6,-0.33638440578737683,1480.0,5.15,-0.1064969270937034,-10.3
184,SBILIFE,2.6653230010077493,94.57325369962717,1440.0,23.75,-0.3413742591120006,1360.0,6.675,-0.1214351895182878,-10.4
22,AUROPHARMA,-1.1170011359333587,61.670327045843095,1280.0,24.75,-0.37486921460658973,1200.0,7.1,-0.13272999927201212,-10.55
213,UNITDSPR,-0.8782059073781452,48.14902361738236,1600.0,24.6,-0.3617965531011629,1520.0,7.0,-0.12965016190027168,-10.600000000000001
