,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val
65,DELHIVERY,0.0,98.90732836614814,350.0,5.5,0.3193657156140383,375.0,1.525,0.110905655177209,-2.45
77,GNFC,3.0876216968011128,39.76355253018192,570.0,10.350000000000001,0.3800682463978425,600.0,3.95,0.1747096129922283,-2.450000000000001
58,CROMPTON,-1.0190399570930546,41.48517580624379,380.0,6.725,0.36506197211131486,400.0,2.125,0.15190790192036105,-2.4749999999999996
219,WIPRO,-0.0339097999321804,99.80751338187412,305.0,6.425000000000001,0.3696157552595636,325.0,1.975,0.14957093659575368,-2.4750000000000005
138,M&MFIN,1.087758112094395,85.72658711940268,285.0,5.2,0.3431065935993459,305.0,1.35,0.11919379399447928,-2.5
117,JIOFIN,1.109616677874916,3.7978628244836443,310.0,5.8,0.3668225668547066,330.0,1.65,0.13692006291802566,-2.5
108,INDUSTOWER,-0.3022061045633122,55.880607859074,340.0,6.25,0.3658826705191619,360.0,1.85,0.1433486876643126,-2.55
62,DABUR,1.0968379446640317,40.605577137135164,525.0,5.875,0.3281562764030427,550.0,1.625,0.11400892444268773,-2.625
175,POONAWALLA,1.3786470022443091,99.73412050513677,330.0,5.8,0.33042278304946077,355.0,1.5750000000000002,0.11464955410407879,-2.6499999999999995
34,BERGEPAINT,0.8920606601248887,57.08637109201828,465.0,6.65,0.348396790502552,490.0,2.0,0.13124939936951568,-2.6500000000000004
53,COALINDIA,0.17073811400052535,35.02253198388141,390.0,5.925000000000001,0.3719740629300557,410.0,1.5750000000000002,0.13307401307176517,-2.7750000000000004
215,UPL,4.093735054997609,43.49180202183295,560.0,8.25,0.3475111603866554,590.0,2.575,0.13554072003839995,-3.0999999999999996
139,MARICO,-0.30004616094783815,41.134472648792816,660.0,10.725000000000001,0.39395715667896586,690.0,3.75,0.1725203769816489,-3.2250000000000014
88,HDFCLIFE,2.2160210111621796,81.62791515293742,640.0,9.0,0.34688672994166425,670.0,2.875,0.1410110213287158,-3.25
91,HINDALCO,1.6036754507628297,29.541911581166225,600.0,9.600000000000001,0.3730071174892476,630.0,3.1500000000000004,0.1544879359187945,-3.3000000000000007
80,GRANULES,1.2847790507364976,54.01871435940999,640.0,11.475000000000001,0.3539875614469629,680.0,4.075,0.15078893701239196,-3.325000000000001
50,CHAMBLFERT,4.2855660475251645,32.01640522641169,520.0,9.75,0.3570400874892109,550.0,3.2,0.15127556708528597,-3.3499999999999996
0,AARTIIND,0.5928121526491293,45.70611562475078,420.0,7.074999999999999,0.3550608702998002,450.0,1.8,0.11592261530914642,-3.474999999999999
93,HINDPETRO,-0.5252369971816552,65.30868273869119,405.0,7.475,0.3367802747262581,435.0,2.0,0.11817301735222906,-3.4749999999999996
169,PFC,-0.11164452383610583,30.48564901256966,460.0,10.100000000000001,0.389777525311716,490.0,3.275,0.1626820740495068,-3.5500000000000016
217,VEDL,1.396710970939401,35.94522340172,470.0,6.425000000000001,0.3016497909500757,510.0,1.4249999999999998,0.08243300521711489,-3.575000000000001
15,APOLLOTYRE,0.18105009052504525,23.340284422839584,510.0,8.075,0.3709803814744775,540.0,2.175,0.12933422535292374,-3.7249999999999996
73,EXIDEIND,0.13399926909489585,56.71232393406653,430.0,6.2,0.3034308847483495,470.0,1.1749999999999998,0.07379187837598909,-3.8500000000000005
199,TATACONSUM,0.9011382799325464,75.95548785155064,980.0,12.925,0.35447388831623605,1020.0,4.525,0.15411873351951888,-3.875
113,IRCTC,0.5824111822947001,39.19859063791993,800.0,11.05,0.3399877078758903,840.0,3.45,0.13346885294289537,-4.15
105,INDIANB,0.7828554653097173,0.16064598219472231,540.0,9.2,0.3172859031244015,580.0,2.5,0.11111712697180237,-4.199999999999999
102,IGL,0.7167602436984829,63.77834061394873,440.0,7.55,0.327545336743107,480.0,1.6749999999999998,0.09322025682800897,-4.2
162,OIL,3.4988590676953173,99.96920436649329,500.0,9.225000000000001,0.3239180268627537,540.0,2.5,0.11303097385221968,-4.225000000000001
103,INDHOTEL,0.9614250324407221,43.62370480278147,880.0,13.149999999999999,0.35175731396772264,920.0,4.45,0.15172849794980364,-4.249999999999998
82,GUJGASLTD,-0.21596151958378326,21.144476197169077,520.0,8.5,0.37744915243395644,550.0,2.125,0.12785367705514464,-4.25
98,ICICIPRULI,-0.04510260843418778,91.37023285323637,690.0,10.95,0.33211671333145154,730.0,3.325,0.12938232678026942,-4.299999999999999
194,SUNTV,-0.0522700119474313,28.047899427452137,690.0,10.7,0.3473339109402103,730.0,3.2,0.13116991117038196,-4.299999999999999
119,JSL,0.6247177480054193,6.312631205060917,690.0,14.9,0.37785827330800437,730.0,5.25,0.1717744622800814,-4.4
46,CANFINHOME,2.3484902562638306,67.49810393631958,740.0,13.875,0.36361405725522306,780.0,4.725,0.1596623564597927,-4.425000000000001
129,LICHSGFIN,-1.2851742965140698,29.466893290944306,610.0,7.85,0.30872628691694526,650.0,1.7,0.08853184531477426,-4.449999999999999
181,RECLTD,0.4765146358066712,65.25356920064287,540.0,9.8,0.3306328033114353,580.0,2.675,0.11736654345299856,-4.450000000000001
11,AMBUJACEM,1.0823529411764705,41.812724458296145,550.0,8.899999999999999,0.37271486831014417,580.0,2.2,0.12806141089844655,-4.499999999999998
216,VBL,-1.8492176386913233,0.19635141297981787,640.0,12.774999999999999,0.3742213890960798,680.0,4.125,0.15448138925926114,-4.524999999999999
38,BIOCON,6.608357628765791,73.96591408787981,400.0,6.925000000000001,0.33261068736260324,440.0,1.1749999999999998,0.07644371514161105,-4.575000000000001
56,CONCOR,-0.7719481878843386,73.75933366217787,780.0,14.0,0.36949489059529494,820.0,4.675,0.16008556394990484,-4.65
122,JUBLFOOD,-1.1618849798779698,64.16304811167454,790.0,12.6,0.33328683303431644,840.0,3.9000000000000004,0.12769059704609453,-4.799999999999999
179,RAMCOCEM,0.4444212067342884,52.638867849555226,990.0,14.1,0.33944580630669213,1040.0,4.6,0.13778515264047025,-4.9
186,SBIN,0.3398089376162083,48.957432685144994,800.0,10.850000000000001,0.36210466850649325,840.0,2.975,0.12834766756232852,-4.900000000000001
21,AUBANK,1.2855088097806544,64.94817263136197,580.0,10.175,0.36410911235454413,620.0,2.625,0.12242562474218925,-4.925000000000001
120,JSWENERGY,-0.8537798408488064,100.0,620.0,14.399999999999999,0.37481774088752634,670.0,4.7,0.15124040781170744,-4.999999999999998
123,KALYANKJIL,-4.109589041095891,18.709259903941064,750.0,19.375,0.36893804930887547,810.0,7.175,0.1673118205426321,-5.025
43,BSOFT,0.4834884145228973,44.882093676638135,570.0,11.0,0.35973069619786496,610.0,2.975,0.12894327024680957,-5.05
49,CGPOWER,0.6278339727938612,12.638124840188885,750.0,15.175,0.3535384246210215,800.0,4.875,0.14564628375882518,-5.425000000000001
184,SBICARD,-0.0681059728938228,95.89632751005853,755.0,11.325,0.3494513928480923,800.0,2.925,0.1180811893558483,-5.475
201,TATAMOTORS,2.1434989089975613,95.53082079560478,820.0,14.45,0.36180210203597757,870.0,4.4,0.1405602725641712,-5.649999999999999
130,LICI,0.20027466239414057,0.021427792763078386,900.0,13.274999999999999,0.3513340262337411,950.0,3.7,0.1263183621558345,-5.874999999999998
121,JSWSTEEL,1.1497429661157483,72.57434246566007,940.0,14.25,0.3558436519326744,990.0,4.175000000000001,0.13460324196294898,-5.899999999999999
182,RELIANCE,1.6004572735067162,42.95858711980335,1270.0,14.2,0.3497255124635329,1320.0,4.074999999999999,0.13017922441569804,-6.050000000000001
107,INDUSINDBK,1.248586990031857,99.90910767569345,1020.0,20.775,0.364560483365978,1080.0,7.35,0.1636772592257121,-6.074999999999999
191,SONACOMS,0.8248131282756251,96.63197544633427,610.0,13.774999999999999,0.36564770589757273,660.0,3.825,0.13337480409868285,-6.124999999999998
23,AXISBANK,0.38857677902621723,97.2540163834219,1100.0,15.600000000000001,0.3534870042459528,1150.0,4.725,0.14053131978014344,-6.150000000000002
116,JINDALSTEL,0.30267629566694987,33.491942732752236,970.0,15.975000000000001,0.3652047206676269,1020.0,4.875,0.146239741115904,-6.225000000000001
68,DLF,0.6989978968204875,73.3497740020019,840.0,12.925,0.34372552296818737,890.0,3.325,0.11772346246312386,-6.275
96,ICICIBANK,1.0479454753181263,84.38282878039404,1310.0,16.1,0.35585055754663286,1360.0,4.7,0.13930809560496565,-6.700000000000001
128,LAURUSLABS,1.9323270857521977,76.26494056278074,640.0,10.975000000000001,0.3324094696823415,700.0,2.0999999999999996,0.0844785851932795,-6.775000000000002
19,ATGL,-0.21687269572760792,0.0022469364141585392,730.0,16.85,0.33617928743149433,800.0,5.025,0.1259756813534117,-6.800000000000001
70,DRREDDY,0.03686500036865,95.91057369327503,1390.0,19.975,0.3601361786186232,1450.0,6.575,0.1524859429503856,-6.825000000000001
9,ADANIPORTS,0.8177770166124337,68.3511004441243,1220.0,19.275,0.33551259565699176,1300.0,6.1,0.12794564561930388,-7.074999999999999
36,BHARTIARTL,-0.04073702682376536,57.407127264114585,1620.0,22.625,0.39341070511278975,1680.0,7.65,0.17185238709554984,-7.324999999999999
141,MAXHEALTH,3.684961723108862,0.881604203586025,1240.0,27.025,0.3733291843664255,1320.0,9.8,0.16785571230889937,-7.424999999999997
222,ZYDUSLIFE,3.9176111369870106,35.49050461701418,1040.0,13.2,0.31289458825770705,1120.0,2.775,0.08188958050212558,-7.6499999999999995
197,TATACHEM,2.5422875553765603,56.39447059678472,1060.0,15.774999999999999,0.31832471777488364,1140.0,4.05,0.10133254638942533,-7.674999999999999
178,PVRINOX,-2.7698299157526627,88.07802395560414,1260.0,26.675,0.3817386790805467,1340.0,9.35,0.16651263880706238,-7.975000000000001
